Time,Time Elaps,Type,Packet Number,Size
227141164,228,PacketReceived,34,1252,10.0.228.164:443,172.19.19.121:40635,0,0,0,"[['STREAM', 'receive', 5, 'length: 1233', 'offset: 27119']]"
227141164,228,PacketSent,21,28,107,NOT_RETRANSMISSION,"[['ACK', 'send', 'N/A', 'largest_observed: 34', 'missing_packets: []', 'delta_time_largest_observed_us: 297', 'received_packet_times: []']]"
227141165,229,PacketReceived,35,1252,10.0.228.164:443,172.19.19.121:40635,0,0,0,"[['STREAM', 'receive', 5, 'length: 1233', 'offset: 28352']]"
227141167,231,PacketReceived,36,1252,10.0.228.164:443,172.19.19.121:40635,0,0,0,"[['STREAM', 'receive', 5, 'length: 1233', 'offset: 29585']]"
227141168,232,PacketSent,22,28,103,NOT_RETRANSMISSION,"[['ACK', 'send', 'N/A', 'largest_observed: 36', 'missing_packets: []', 'delta_time_largest_observed_us: 335', 'received_packet_times: []']]"
227141168,232,PacketReceived,37,1252,10.0.228.164:443,172.19.19.121:40635,0,0,0,"[['STREAM', 'receive', 5, 'length: 1233', 'offset: 30818']]"
227141194,258,PacketSent,23,28,77,NOT_RETRANSMISSION,"[['ACK', 'send', 'N/A', 'largest_observed: 37', 'missing_packets: []', 'delta_time_largest_observed_us: 26077', 'received_packet_times: []']]"
227141198,262,PacketReceived,38,736,10.0.228.164:443,172.19.19.121:40635,0,0,0,"[['STREAM', 'receive', 5, 'length: 717', 'offset: 32051']]"
227141199,263,PacketReceived,39,1252,10.0.228.164:443,172.19.19.121:40635,0,0,0,"[['STREAM', 'receive', 5, 'length: 1233', 'offset: 32768']]"
227141201,265,PacketSent,24,28,70,NOT_RETRANSMISSION,"[['ACK', 'send', 'N/A', 'largest_observed: 39', 'missing_packets: []', 'delta_time_largest_observed_us: 1628', 'received_packet_times: []']]"
227141203,267,PacketReceived,40,1252,10.0.228.164:443,172.19.19.121:40635,0,0,0,"[['STREAM', 'receive', 5, 'length: 1233', 'offset: 34001']]"
227141203,267,PacketReceived,41,1252,10.0.228.164:443,172.19.19.121:40635,0,0,0,"[['STREAM', 'receive', 5, 'length: 1233', 'offset: 35234']]"
227141205,269,PacketSent,25,28,66,NOT_RETRANSMISSION,"[['ACK', 'send', 'N/A', 'largest_observed: 41', 'missing_packets: []', 'delta_time_largest_observed_us: 1555', 'received_packet_times: []']]"
227141206,270,PacketReceived,42,1252,10.0.228.164:443,172.19.19.121:40635,0,0,0,"[['STREAM', 'receive', 5, 'length: 1233', 'offset: 36467']]"
227141207,271,PacketReceived,43,945,10.0.228.164:443,172.19.19.121:40635,0,0,0,"[['STREAM', 'receive', 5, 'length: 926', 'offset: 37700']]"
227141207,271,PacketSent,26,28,64,NOT_RETRANSMISSION,"[['ACK', 'send', 'N/A', 'largest_observed: 43', 'missing_packets: []', 'delta_time_largest_observed_us: 326', 'received_packet_times: []']]"
227141207,271,PacketReceived,44,19,10.0.228.164:443,172.19.19.121:40635,0,0,0,"[['STREAM', 'receive', 5, 'length: 0', 'offset: 38626']]"
227141208,272,PacketReceived,45,205,10.0.228.164:443,172.19.19.121:40635,0,0,0,"[['STREAM', 'receive', 3, 'length: 185', 'offset: 0']]"
227141208,272,PacketSent,27,28,63,NOT_RETRANSMISSION,"[['ACK', 'send', 'N/A', 'largest_observed: 45', 'missing_packets: []', 'delta_time_largest_observed_us: 279', 'received_packet_times: []']]"
227141210,274,PacketReceived,46,1246,10.0.228.164:443,172.19.19.121:40635,0,0,0,"[['STREAM', 'receive', 5, 'length: 1226', 'offset: 0']]"
227141210,274,PacketReceived,47,1252,10.0.228.164:443,172.19.19.121:40635,0,0,0,"[['STREAM', 'receive', 5, 'length: 1230', 'offset: 1226']]"
227141214,278,PacketSent,28,28,57,NOT_RETRANSMISSION,"[['ACK', 'send', 'N/A', 'largest_observed: 47', 'missing_packets: []', 'delta_time_largest_observed_us: 2806', 'received_packet_times: []']]"
227141215,279,PacketReceived,48,25,10.0.228.164:443,172.19.19.121:40635,0,0,0,"[['STREAM', 'receive', 5, 'length: 3', 'offset: 2456']]"
227141243,307,PacketSent,29,41,28,NOT_RETRANSMISSION,"[['ACK', 'send', 'N/A', 'largest_observed: 48', 'missing_packets: []', 'delta_time_largest_observed_us: 25874', 'received_packet_times: []'], ['WINDOW_UPDATE', 'send', 0, 'byte_offset: 15728640']]"
227141271,335,PacketReceived,49,24,10.0.228.164:443,172.19.19.121:40635,0,0,0,"[['ACK', 'receive', 'N/A', 'largest_observed: 29', 'missing_packets: []', 'delta_time_largest_observed_us: 25296', 'received_packet_times: []']]"
227142677,1741,PacketSent,30,60,57,NOT_RETRANSMISSION,"[['STREAM', 'send', 3, 'length: 34', 'offset: 132', [227142677, 2850, 'QUIC_CHROMIUM_CLIENT_STREAM_SEND_REQUEST_HEADERS', 11, 'QUIC_SESSION', '{""params"": {""headers"": ["":method: GET"", "":authority: info.snomile.ink"", "":scheme: https"", "":path: /server.log"", ""user-agent: com.startimes.cronet_localsample/1 (Linux; U; Android 6.0.1; zh_CN; SM-N9100; Build/MMB29M; Cronet/80.0.3956.0)"", ""accept-encoding: gzip, deflate""], ""quic_priority"": 1, ""quic_stream_id"": 7}, ""phase"": 0}']]]"
