time,time_elaps,event_type,source_id,source_type,phase,source_dependency_id,source_dependency_type,other_data
322878403,5317,UDP_BYTES_SENT,8,UDP_SOCKET,PHASE_NONE,N/A,N/A,"{""params"": {""byte_count"": 1350, ""bytes"": ""DW8ckFeCs6hDUTA0MwHnrO8AZFSRC6Wvat+gAQQAQ0hMTxAAAABQQUQA3QIAAFNOSQDtAgAAVkVSAPECAABDQ1MAAQMAAFVBSUQ0AwAAVENJRDgDAABQRE1EPAMAAFNNSExAAwAASUNTTEQDAABOT05QZAMAAE1JRFNoAwAAU0NMU2wDAABDU0NUbAMAAENPUFRwAwAAQ0ZDV3QDAABTRkNXeAMAAC0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS1pbmZvLnNub21pbGUuaW5rUTA0MwHogWCSkhrofu2AhqIVgpFjb20uc3RhcnRpbWVzLmNyb25ldF9sb2NhbHNhbXBsZSBDcm9uZXQvODAuMC4zOTU2LjAAAAAAWDUwOQEAAAAeAAAA0Zilevh123t9VPvaj7yYeCXouDsqCWLOHkM/Wn/OVsxkAAAAAQAAAE5TVFAAAPAAAABgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA""}, ""phase"": 0}"
322878403,5317,QUIC_SESSION_PACKET_SENT,9,QUIC_SESSION,PHASE_NONE,N/A,N/A,"{""params"": {""encryption_level"": ""ENCRYPTION_INITIAL"", ""packet_number"": 1, ""sent_time_us"": 322878402580, ""size"": 1350, ""transmission_type"": ""NOT_RETRANSMISSION""}, ""phase"": 0}"
322878416,5330,UDP_BYTES_RECEIVED,8,UDP_SOCKET,PHASE_NONE,N/A,N/A,"{""params"": {""address"": ""10.0.228.164:443"", ""byte_count"": 270, ""bytes"": ""GG8ckFeCs6hDAAERdH8NwhbauJWq2CaAAVJFSgADAAAAU1RLAEsAAABTVklEUgAAAFNDRkfVAAAA2YTFJlXSymszD4uicP00Mm8ANirBM0XQrt+Gmi9CDU/5eMwkJWpltOmmJgFNJUHmJsxZ+3aKg2mt5cRXiPsvcaq42tBLbWzrqO9DcXVpYy1nb1NDRkcGAAAAQUVBRAQAAABTQ0lEFAAAAFBVQlM3AAAAS0VYUzsAAABPQklUQwAAAEVYUFlLAAAAQUVTR3EaA5u/nrcs3vLQl4tP7NQgAAD5zAYAdVpO3lDdExrVmzS78ISq+ui8db0JwEnGhdmYBEMyNTUPaBhtW005Of//////////""}, ""phase"": 0}"
322878416,5330,QUIC_SESSION_PACKET_RECEIVED,9,QUIC_SESSION,PHASE_NONE,N/A,N/A,"{""params"": {""peer_address"": ""10.0.228.164:443"", ""self_address"": ""172.19.19.121:40399"", ""size"": 270}, ""phase"": 0}"
322878416,5330,QUIC_SESSION_UNAUTHENTICATED_PACKET_HEADER_RECEIVED,9,QUIC_SESSION,PHASE_NONE,N/A,N/A,"{""params"": {""connection_id"": ""0"", ""header_format"": ""GOOGLE_QUIC_PACKET"", ""packet_number"": 1, ""reset_flag"": 0, ""version_flag"": 0}, ""phase"": 0}"
322878416,5330,QUIC_SESSION_PACKET_AUTHENTICATED,9,QUIC_SESSION,PHASE_NONE,N/A,N/A,"{""phase"": 0}"
322878416,5330,QUIC_SESSION_VERSION_NEGOTIATED,9,QUIC_SESSION,PHASE_NONE,N/A,N/A,"{""params"": {""version"": ""Q043""}, ""phase"": 0}"
322878416,5330,QUIC_SESSION_VERSION_NEGOTIATED,9,QUIC_SESSION,PHASE_NONE,N/A,N/A,"{""params"": {""version"": ""Q043""}, ""phase"": 0}"
322878416,5330,QUIC_SESSION_STREAM_FRAME_RECEIVED,9,QUIC_SESSION,PHASE_NONE,N/A,N/A,"{""params"": {""fin"": false, ""length"": 245, ""offset"": 0, ""stream_id"": 1}, ""phase"": 0}"
322878417,5331,QUIC_SESSION_CRYPTO_HANDSHAKE_MESSAGE_RECEIVED,9,QUIC_SESSION,PHASE_NONE,N/A,N/A,"{""params"": {""quic_crypto_handshake_message"": ""REJ <\n  STK : 0xd984c52655d2ca6b330f8ba270fd34326f00362ac13345d0aedf869a2f420d4ff978cc24256a65b4e9a626014d2541e626cc59fb768a8369ade5c45788fb2f71aab8dad04b6d6ceba8ef43\n  SVID: 0x717569632d676f\n  SCFG: \n    SCFG<\n      AEAD: 'AESG'\n      SCID: 0x711a039bbf9eb72cdef2d0978b4fecd4\n      PUBS: 0x200000f9cc0600755a4ede50dd131ad59b34bbf084aafae8bc75bd09c049c685d99804\n      KEXS: 'C255'\n      OBIT: 0x0f68186d5b4d3939\n      EXPY: 0xffffffffffffffff\n    >\n>""}, ""phase"": 0}"
