Time,Time Elaps,Type,Packet Number,Size
87731204,1488,PacketSent,27,1350,85,NOT_RETRANSMISSION,"[['STREAM', 'send', 7, 'length: 1324', 'offset: 24776']]"
87731204,1488,PacketSent,28,1350,85,NOT_RETRANSMISSION,"[['STREAM', 'send', 7, 'length: 1324', 'offset: 26100']]"
87731208,1492,PacketSent,29,1350,85,NOT_RETRANSMISSION,"[['STREAM', 'send', 7, 'length: 1324', 'offset: 27424']]"
87731208,1492,PacketSent,30,1350,85,NOT_RETRANSMISSION,"[['STREAM', 'send', 7, 'length: 1324', 'offset: 28748']]"
87731211,1495,PacketSent,31,1350,85,NOT_RETRANSMISSION,"[['STREAM', 'send', 7, 'length: 1324', 'offset: 30072']]"
87731211,1495,PacketSent,32,1350,85,NOT_RETRANSMISSION,"[['STREAM', 'send', 7, 'length: 1324', 'offset: 31396']]"
87731215,1499,PacketSent,33,1350,84,NOT_RETRANSMISSION,"[['STREAM', 'send', 9, 'length: 1326', 'offset: 0']]"
87731215,1499,PacketSent,34,1350,84,NOT_RETRANSMISSION,"[['STREAM', 'send', 9, 'length: 1324', 'offset: 1326']]"
87731218,1502,PacketSent,35,1350,84,NOT_RETRANSMISSION,"[['STREAM', 'send', 9, 'length: 1324', 'offset: 2650']]"
87731218,1502,PacketSent,36,1350,84,NOT_RETRANSMISSION,"[['STREAM', 'send', 9, 'length: 1324', 'offset: 3974']]"
87731221,1505,PacketSent,37,1350,85,NOT_RETRANSMISSION,"[['STREAM', 'send', 9, 'length: 1324', 'offset: 5298']]"
87731221,1505,PacketSent,38,1350,85,NOT_RETRANSMISSION,"[['STREAM', 'send', 9, 'length: 1324', 'offset: 6622']]"
87731223,1507,PacketSent,39,1350,84,NOT_RETRANSMISSION,"[['STREAM', 'send', 9, 'length: 1324', 'offset: 7946']]"
87731223,1507,PacketSent,40,1350,84,NOT_RETRANSMISSION,"[['STREAM', 'send', 9, 'length: 1324', 'offset: 9270']]"
87731227,1511,PacketSent,41,1350,84,NOT_RETRANSMISSION,"[['STREAM', 'send', 9, 'length: 1324', 'offset: 10594']]"
87731227,1511,PacketSent,42,1350,84,NOT_RETRANSMISSION,"[['STREAM', 'send', 9, 'length: 1324', 'offset: 11918']]"
87731271,1555,PacketReceived,8,20,34.102.205.215:443,192.168.100.10:64543,0,0,0,"[['ACK', 'receive', 'N/A', 'largest_observed: 8', 'missing_packets: []', 'delta_time_largest_observed_us: 8', 'received_packet_times: []']]"
87731271,1555,PacketSent,43,1350,86,NOT_RETRANSMISSION,"[['STREAM', 'send', 9, 'length: 1324', 'offset: 13242']]"
87731272,1556,PacketSent,44,1350,85,NOT_RETRANSMISSION,"[['STREAM', 'send', 9, 'length: 1324', 'offset: 14566']]"
87731272,1556,PacketReceived,9,20,34.102.205.215:443,192.168.100.10:64543,0,0,0,"[['ACK', 'receive', 'N/A', 'largest_observed: 10', 'missing_packets: []', 'delta_time_largest_observed_us: 11', 'received_packet_times: []']]"
87731272,1556,PacketReceived,10,20,34.102.205.215:443,192.168.100.10:64543,0,0,0,"[['ACK', 'receive', 'N/A', 'largest_observed: 12', 'missing_packets: []', 'delta_time_largest_observed_us: 56', 'received_packet_times: []']]"
87731273,1557,PacketReceived,11,20,34.102.205.215:443,192.168.100.10:64543,0,0,0,"[['ACK', 'receive', 'N/A', 'largest_observed: 14', 'missing_packets: []', 'delta_time_largest_observed_us: 3', 'received_packet_times: []']]"
87731273,1557,PacketReceived,12,20,34.102.205.215:443,192.168.100.10:64543,0,0,0,"[['ACK', 'receive', 'N/A', 'largest_observed: 16', 'missing_packets: []', 'delta_time_largest_observed_us: 0', 'received_packet_times: []']]"
87731273,1557,PacketSent,45,1350,85,NOT_RETRANSMISSION,"[['STREAM', 'send', 9, 'length: 1324', 'offset: 15890']]"
87731273,1557,PacketSent,46,1350,85,NOT_RETRANSMISSION,"[['STREAM', 'send', 9, 'length: 1324', 'offset: 17214']]"
87731274,1558,PacketReceived,13,20,34.102.205.215:443,192.168.100.10:64543,0,0,0,"[['ACK', 'receive', 'N/A', 'largest_observed: 18', 'missing_packets: []', 'delta_time_largest_observed_us: 51', 'received_packet_times: []']]"
87731276,1560,PacketSent,47,1350,85,NOT_RETRANSMISSION,"[['STREAM', 'send', 11, 'length: 1326', 'offset: 0']]"
87731277,1561,PacketSent,48,1350,84,NOT_RETRANSMISSION,"[['STREAM', 'send', 11, 'length: 1324', 'offset: 1326']]"
87731279,1563,PacketReceived,14,20,34.102.205.215:443,192.168.100.10:64543,0,0,0,"[['ACK', 'receive', 'N/A', 'largest_observed: 20', 'missing_packets: []', 'delta_time_largest_observed_us: 302', 'received_packet_times: []']]"
87731280,1564,PacketSent,49,1350,84,NOT_RETRANSMISSION,"[['STREAM', 'send', 11, 'length: 1324', 'offset: 2650']]"
87731280,1564,PacketSent,50,1350,84,NOT_RETRANSMISSION,"[['STREAM', 'send', 11, 'length: 1324', 'offset: 3974']]"
87731280,1564,PacketSent,51,1350,85,NOT_RETRANSMISSION,"[['STREAM', 'send', 11, 'length: 1324', 'offset: 5298']]"
87731280,1564,PacketSent,52,1350,85,NOT_RETRANSMISSION,"[['STREAM', 'send', 11, 'length: 1324', 'offset: 6622']]"
87731280,1564,PacketReceived,15,20,34.102.205.215:443,192.168.100.10:64543,0,0,0,"[['ACK', 'receive', 'N/A', 'largest_observed: 22', 'missing_packets: []', 'delta_time_largest_observed_us: 16', 'received_packet_times: []']]"
87731283,1567,PacketSent,53,1350,86,NOT_RETRANSMISSION,"[['STREAM', 'send', 11, 'length: 1324', 'offset: 7946']]"
87731284,1568,PacketSent,54,1350,85,NOT_RETRANSMISSION,"[['STREAM', 'send', 11, 'length: 1324', 'offset: 9270']]"
87731284,1568,PacketSent,55,1350,85,NOT_RETRANSMISSION,"[['STREAM', 'send', 11, 'length: 1324', 'offset: 10594']]"
87731284,1568,PacketSent,56,1350,85,NOT_RETRANSMISSION,"[['STREAM', 'send', 11, 'length: 1324', 'offset: 11918']]"
87731285,1569,PacketReceived,16,20,34.102.205.215:443,192.168.100.10:64543,0,0,0,"[['ACK', 'receive', 'N/A', 'largest_observed: 25', 'missing_packets: []', 'delta_time_largest_observed_us: 339', 'received_packet_times: []']]"
87731285,1569,PacketSent,57,1350,85,NOT_RETRANSMISSION,"[['STREAM', 'send', 11, 'length: 1324', 'offset: 13242']]"
87731285,1569,PacketSent,58,1350,85,NOT_RETRANSMISSION,"[['STREAM', 'send', 11, 'length: 1324', 'offset: 14566']]"
87731287,1571,PacketSent,59,1350,85,NOT_RETRANSMISSION,"[['STREAM', 'send', 11, 'length: 1324', 'offset: 15890']]"
87731288,1572,PacketSent,60,1350,84,NOT_RETRANSMISSION,"[['STREAM', 'send', 11, 'length: 1324', 'offset: 17214']]"
87731288,1572,PacketSent,61,1350,84,NOT_RETRANSMISSION,"[['STREAM', 'send', 11, 'length: 1324', 'offset: 18538']]"
87731288,1572,PacketSent,62,1350,86,NOT_RETRANSMISSION,"[['STREAM', 'send', 11, 'length: 1324', 'offset: 19862']]"
87731289,1573,PacketReceived,17,20,34.102.205.215:443,192.168.100.10:64543,0,0,0,"[['ACK', 'receive', 'N/A', 'largest_observed: 28', 'missing_packets: []', 'delta_time_largest_observed_us: 5', 'received_packet_times: []']]"
87731289,1573,PacketSent,63,1350,85,NOT_RETRANSMISSION,"[['STREAM', 'send', 13, 'length: 1326', 'offset: 0']]"
87731290,1574,PacketSent,64,1350,87,NOT_RETRANSMISSION,"[['STREAM', 'send', 13, 'length: 1324', 'offset: 1326']]"
87731293,1577,PacketReceived,18,20,34.102.205.215:443,192.168.100.10:64543,0,0,0,"[['ACK', 'receive', 'N/A', 'largest_observed: 30', 'missing_packets: []', 'delta_time_largest_observed_us: 6', 'received_packet_times: []']]"
87731293,1577,PacketSent,65,1350,84,NOT_RETRANSMISSION,"[['STREAM', 'send', 13, 'length: 1324', 'offset: 2650']]"
87731293,1577,PacketSent,66,1350,86,NOT_RETRANSMISSION,"[['STREAM', 'send', 13, 'length: 1324', 'offset: 3974']]"
87731293,1577,PacketSent,67,1350,86,NOT_RETRANSMISSION,"[['STREAM', 'send', 13, 'length: 1324', 'offset: 5298']]"
87731293,1577,PacketSent,68,1350,86,NOT_RETRANSMISSION,"[['STREAM', 'send', 13, 'length: 1324', 'offset: 6622']]"
87731293,1577,PacketSent,69,1350,86,NOT_RETRANSMISSION,"[['STREAM', 'send', 13, 'length: 1324', 'offset: 7946']]"
87731293,1577,PacketSent,70,1350,86,NOT_RETRANSMISSION,"[['STREAM', 'send', 13, 'length: 1324', 'offset: 9270']]"
